0,1
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,En implementación avanzada.\nNota: los planes de prevención de riesgos para la salud asociados a\neventos extremos de calor se encuentran más desarrollados que los de\neventos extremos de frío.
Período de ejecución,En ejecución-Continúa
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional\nFondos subnacionales (presupuesto de los Ministerios de Salud\nde las jurisdicciones)
Instrumentos y herramientas de implementación,Comunicación del riesgo.\nVigilancia de efectos en la salud asociados a temperaturas\nextremas.
Necesidades y barreras,"Necesidades:\nMejora de la articulación entre los diferentes subsectores de salud\n(público, de obras sociales y privado) y entre los niveles de\ndependencia (nacional, provincial y municipal).\nArticulación con otros sectores del gobierno."
Indicadores para el monitoreo,Cantidad de planes de prevención aprobados\nCantidad de planes de prevención previstos
Análisis enfoque de género y diversidad,Transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida con reducción del riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b) y d).
Medida,"[SA-07] Fortalecer la capacidad de respuesta del sector salud, a\npartir de la obtención de información oportuna relacionada con\ninundaciones"
Descripción,Lineamientos para el desarrollo de Sistemas de Alerta Temprana por\nInundaciones Pluviales a nivel local o de cuenca.
Metas,"Al 2030, se cuenta con lineamientos para el desarrollo de SAT por\ninundaciones pluviales."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos para la salud asociados a los cambios en\nla frecuencia, duración e intensidad de eventos de precipitaciones\nextremas, inundaciones y aludes, mediante el fortalecimiento del\nsistema de salud a través de la obtención de información temprana."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Servicio Meteorológico Nacional\nInstituto Nacional del Agua\nMinisterio de Salud
Estado de implementación,"En programación.\nAún no se ha iniciado esta línea de trabajo, sin embargo existen\nexperiencias a nivel local que podrían ser sistematizadas y el INA tiene\namplia experiencia en la temática."
Período de ejecución,2023-2030
Estimación de gastos al 2030,A definir
Financiamiento,"Tesoro Nacional (Presupuesto del SMN, INA y otros sectores\ninvolucrados)"
Instrumentos y herramientas de implementación,"Grupos de Trabajo de Salud y de Gestión Integral del Riesgo del\nGabinete Nacional de Cambio Climático.\nPrograma Nacional de Municipios y Comunidades Saludables, del\nMinisterio de Salud."
Necesidades y barreras,Necesidad de fortalecimiento de la articulación entre las autoridades\ninvolucradas.
Indicadores para el monitoreo,Lineamientos acordados y publicados
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre,No se identifican sinergias ni concesiones con la reducción de
adaptación y mitigación,emisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b) y d).
Medida,[SA-08] Contribuir a la reducción de los riesgos para la salud\nrelacionados con inundaciones a través de la implementación de\nmedidas de promoción y protección de la salud
Descripción,"Contribución a la reducción de los riesgos para la salud relacionados\ncon inundaciones a través de la implementación de medidas de\npromoción y protección de la salud. Para ello se desarrollarán\nlineamientos y recomendaciones para la intervención sanitaria antes,\ndurante y después de las inundaciones (plan de contingencia para la\nprovisión de agua segura y saneamiento, gestión de residuos y control\nde vectores y zoonosis; recomendaciones sanitarias para refugios de\nevacuados; inmunizaciones y abordaje integral de la salud de las\ncomunidades con énfasis en las poblaciones en situación de mayor\nvulnerabilidad, tales como: mujeres y LGBTI+, niñas y niños, personas\nmayores y aquellas con enfermedades crónicas)."
Metas,"A 2030, se cuenta con lineamientos y recomendaciones para la\nintervención sanitaria antes, durante y después de inundaciones\nrevisados y actualizados periódicamente."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos para la salud asociados a los cambios en\nla frecuencia, duración e intensidad de eventos de precipitaciones\nextremas, inundaciones, aludes y disminución de acceso al agua\nsegura, al fortalecer el sistema de salud en la intervención sanitaria\nantes, durante y después del evento a través del fortalecimiento de\ncapacidades, la integración de información y la elaboración de\nrecomendaciones y planes de contingencia."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,En implementación inicial.\nNota: existen documentos desarrollados por diferentes áreas del\nMinisterio de Salud que es necesario revisar y reunir en un mismo\ndocumento.
Período de ejecución,En ejecución-2030
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional
Instrumentos y herramientas de implementación,Mesa de Trabajo sobre Salud y Cambio Climático
Necesidades y barreras,Necesidades:\nFortalecimiento de la articulación entre diferentes áreas del\nEstado Nacional.\nArticulación con SINAGIR para la implementación y capacitación\nde la comunidad y equipos de salud).
Indicadores para el monitoreo,Lineamientos acordados y publicados
Análisis enfoque de género y diversidad,Transformadora de las brechas de género.
Análisis enfoque de gestión integral del,Medida que reduce el riesgo climático.
riesgo,
Análisis enfoque de salud,N/A
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b).
Medida,[SA-09] Fortalecer la capacidad del sector salud para reducir los\nriesgos relacionados con las sequías
,Fortalecer la capacidad del sector salud para reducir los
,riesgos relacionados con las sequías
Descripción,"Desarrollo de recomendaciones sanitarias para la actuación en casos\nde afectación de la provisión de agua, incendios forestales y\nafectación de la producción de alimentos asociados a sequías, con\nénfasis en las poblaciones en situación de mayor vulnerabilidad, tales\ncomo: mujeres y LGBTI+, niñas y niños, personas mayores y aquellas\ncon enfermedades crónicas)."
Metas,"Al 2030, se cuenta con recomendaciones para la reducción de riesgos\na la salud relacionados con las sequías."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda los riesgos para la salud asociados a los cambios en\nla frecuencia, duración e intensidad de sequías, mediante el\nfortalecimiento de la respuesta del sistema de salud ante la afectación\nde acceso al agua segura, con énfasis en la población de mayor\nvulnerabilidad."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,"En programación.\nNota: a pesar de que pueden existir algunas recomendaciones para el\ncuidado de la salud de la población general, es necesario sistematizar"
[SA-09] Fortalecer la capacidad del sector salud para reducir los riesgos relacionados con las sequías,
Fortalecer la capacidad del sector salud para reducir los,
riesgos relacionados con las sequías,
,la información para los equipos de salud.
Período de ejecución,2024-2030
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional
Instrumentos y herramientas de implementación,Mesa de Trabajo sobre Salud y Cambio Climático
Necesidades y barreras,"Necesidades:\nArticulación con Manejo del Fuego, INA y Agro.\nRecursos técnicos."
Indicadores para el monitoreo,Recomendaciones publicadas
Análisis enfoque de género y diversidad,Transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático.
Análisis enfoque de salud,N/A
Análisis enfoque de,A definir
transición justa,
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 2.\nInc. b) y d).
Medida,[SA-10]  Fortalecer la capacidad del sector salud para asegurar el\nfuncionamiento adecuado de los servicios de salud durante\nemergencias y desastres climáticos
Descripción,"Desarrollo de lineamientos para la adaptación de hospitales para\nasegurar su adecuado funcionamiento ante eventos meteorológicos\nextremos. Para ello se deberá:\nRealizar un estado de situación de los establecimientos de\natención de la salud en función de diferentes eventos\nmeteorológicos extremos,\nElaborar una herramienta para evaluar la vulnerabilidad de\nestablecimientos de atención de la salud en contexto de cambio\nclimático, y\nRelevar la situación de agua, saneamiento e higiene, energía;\nsuministro de insumos críticos, viabilidad de recibir provisiones y\nde evacuar en establecimientos de salud."
Metas,"Al 2030, se cuenta con una herramienta para evaluar la vulnerabilidad\nde establecimientos de atención de la salud en contexto de cambio\nclimático y se aplicará en diferentes provincias del país."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aumenta la resiliencia de los hospitales frente al cambio\nclimático, por lo que aborda los riesgos para la salud asociados a los\ncambios en la frecuencia, duración e intensidad de eventos climáticos\nextremos (olas de calor y frío, precipitaciones extremas, sequías,\ninundaciones, aludes), mediante el fortalecimiento de las capacidades,\nla integración de la información dentro de los sistemas de información\nsanitaria con datos acerca del clima y de asegurar el acceso a servicios\nbásicos (agua segura, acopio de insumos médicos, energía y\nconectividad)."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Salud
Estado de implementación,En implementación inicial
Período de ejecución,En ejecución-2030
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional\nFuentes internacionales (Fondo Verde del Clima)
Instrumentos y herramientas de implementación,Mesa de Trabajo sobre Salud y Cambio Climático\nEstudio de estado de situación de vulnerabilidad de\nestablecimientos de atención de la salud frente al cambio\nclimático.
Necesidades y barreras,Necesidades:\nRecursos financieros para la implementación (capacitación de\nequipos para aplicar la herramienta).\nArticulación con las áreas de salud de las provincias/municipios.
